LLM,Hallucination %,Answer %,Avg Summary Words
google/gemini-2.0-flash-001,0.7,100,65.2
openai/o3-mini-high-reasoning,0.795,100,79.519
google/gemini-2.0-pro-exp-02-05,0.8,99.7,61.5
google/gemini-2.5-pro-exp-03-25,1.1,95.1,72.9
openai/gpt-4.5-preview,1.2,100,77
google/gemini-2.0-flash-lite-preview-02-05,1.2,99.5,60.9
gemini-2.0-flash-exp,1.3,99.9,60
google/gemini-2.5-flash-preview-04-17,1.3,91.2,71.1
THUDM/glm-4-9b-chat,1.3,100,58.1
openai/o1-mini,1.4,100,78.3
openai/GPT-4o,1.491,100,77.8
amazon/nova-micro-v1,1.6,100,90
openai/GPT-4o-mini,1.69,100,76.3
openai/GPT-4-Turbo,1.69,100,86.2
google/gemini-2.0-flash-thinking-exp,1.8,99.3,73.2
amazon/nova-pro-v1,1.8,100,85.5
amazon/nova-lite-v1,1.8,99.9,80.7
openai/GPT-4,1.805,100,81.1
x-ai/grok-2-1212,1.9,100,86.5
openai/GPT-3.5-Turbo,1.925,99.6,84.1
openai/gpt-4.1-nano,2,100,70.2
openai/gpt-4.1,2,100,71.9
xai/grok-3-latest,2.1,100,97.7
Qwen/Qwen3-14B,2.2,100,82.4
openai/gpt-4.1-mini,2.2,100,79.6
ai21/jamba-1.6-large,2.3,99.9,85.6
openai/o1,2.4,99.9,73
openai/o1-pro,2.4,100,81
deepseek/deepseek-chat,2.4,100,83.2
microsoft/Orca-2-13b,2.485,100,66.2
microsoft/Phi-3.5-MoE-instruct,2.5,96.3,69.7
google/gemini-2.5-pro-preview-06-05,2.6,99.6,73.1
Intel/neural-chat-7b-v3-3,2.6,100,60.7
Qwen/Qwen3-4B,2.7,100,87.7
google/gemma-3-12b-it,2.8,100,69.6
Qwen/Qwen2.5-7B-Instruct,2.8,100,71
Qwen/Qwen3-32B,2.8,100,82.4
ai21labs/AI21-Jamba-1.5-Mini,2.9,95.6,74.5
qwen/qwen-max,2.9,88.4,90.4
x-ai/grok-2-vision-1212,2.9,100,79.8
snowflake/snowflake-arctic-instruct,2.982,100,68.7
Qwen/Qwen3-8B,3,100,78.2
Qwen/Qwen2.5-32B-Instruct,3,100,67.9
mistralai/Mistral-Small-24B-Instruct-2501,3.082,100,74.933
microsoft/Phi-3-mini-128k-instruct,3.082,100,60.1
openai/o1-preview,3.3,100,119.3
xai/grok-3-mini-latest,3.3,100,90.2
google/gemini-1.5-flash-002,3.4,99.9,59.4
microsoft/Phi-4-mini-instruct,3.4,100,69.7
openai/chatgpt-4o-latest,3.5,100,63.5
Qwen/Qwen3-0.6B,3.7,100,65.3
google/gemma-3-4b-it,3.7,100,63.7
01-ai/Yi-1.5-34B-Chat,3.7,100,83.7
meta-llama/Meta-Llama-3.1-405B-Instruct,3.9,99.6,85.7
deepseek/deepseek-v3,3.9,100,88.2
microsoft/Phi-3-mini-4k-instruct,3.976,100,86.8
meta-llama/Llama-3.3-70B-Instruct,4,100,85.3
internlm/internlm3-8b-instruct,4,100,97.5
mistralai/Mistral-Large2,4.1,100,77.4
microsoft/Phi-3.5-mini-instruct,4.1,100,75
meta-llama/Llama-3-70B-chat-hf,4.108,99.2,68.5
Qwen/Qwen2.5-14B-Instruct,4.2,100,74.8
Qwen/Qwen2-VL-7B-Instruct,4.2,100,73.9
Qwen/Qwen2.5-72B-Instruct,4.3,100,80.8
Qwen/Qwen3-1.7B,4.4,100,69
anthropic/claude-3-7-sonnet-latest,4.4,100,97.8
anthropic/claude-4-sonnet,4.5,100,116
anthropic/claude-3-7-sonnet-latest-think,4.5,99.8,99.9
cohere/command-a-03-2025,4.5,100,77.3
ai21/jamba-1.6-mini,4.6,100,82.3
xai/grok-beta,4.6,100,91
openai/o4-mini,4.6,100,82
meta-llama/llama-4-maverick,4.6,100,84.8
mistralai/Mixtral-8x22B-Instruct-v0.1,4.677,99.9,92
meta-llama/llama-4-scout,4.7,100,80.7
microsoft/phi-4,4.7,100,100.3
Qwen/Qwen2-72B-Instruct,4.7,100,100.1
xai/grok-4-0709,4.8,99.8,100.6
anthropic/claude-4-opus,4.8,100,110
cohere/command-r-08-2024,4.9,100,68.7
anthropic/claude-3-5-haiku-20241022,4.9,100,92.2
allenai/olmo-2-0325-32b-instruct,4.9,99.9,100
meta-llama/Meta-Llama-3.1-70B-Instruct,5,100,79.6
01-ai/Yi-1.5-9B-Chat,5,100,85.7
google/gemma-3-1b-it,5.3,99.9,57.9
meta-llama/Meta-Llama-3.1-8B-Instruct,5.4,100,71
cohere/command-r-plus-08-2024,5.4,100,68.4
mistralai/mistral-small-3.1-24b-instruct,5.6,100,73.1
mistralai/mistral-large-latest,5.865,100,79.554
meta-llama/Llama-2-70b-chat-hf,5.897,99.9,84.9
google/gemma-3-27b-it,5.9,98.5,64.3
ibm-granite/granite-3.0-8b-instruct,6.5,100,74.2
mistralai/pixtral-large-latest,6.561,100,76.365
google/gemini-1.5-flash-001,6.6,99.9,63.3
google/gemini-1.5-pro-002,6.6,99.9,62
microsoft/phi-2,6.667,91.5,80.8
openai/o3,6.8,100,77.7
google/gemma-2-2b-it,7,100,62.2
Qwen/Qwen2.5-3B-Instruct,7,100,70.4
meta-llama/Llama-3-8B-chat-hf,7.371,99.8,79.7
mistralai/ministral-8b-latest,7.455,100,62.73
meta-llama/Llama-3.2-90B-Vision-Instruct-Turbo,7.6,100,83.3
qwen/qwen3-30b-a3b,7.6,99.9,69.9
google/Gemini-Pro,7.677,98.4,89.5
deepseek/deepseek-r1-0528,7.7,100,138.9
01-ai/Yi-1.5-6B-Chat,7.9,100,98.9
meta-llama/Llama-3.2-3B-Instruct-Turbo,7.9,100,72.2
deepseek/deepseek-v3-0324,8,100,78.9
mistralai/ministral-3b-latest,8.25,100,73.177
Qwen/Qwen2-VL-2B-Instruct,8.3,100,81.8
databricks/dbrx-instruct,8.35,100,85.9
cohere/c4ai-aya-expanse-32b,8.5,99.9,81.9
ibm-granite/granite-3.1-8b-instruct,8.6,100,107.4
anthropic/Claude-3-5-Sonnet,8.6,100,103
mistralai/mistral-small-latest,8.648,100,74.25
ibm-granite/granite-3.2-8b-instruct,8.7,100,120.1
ibm-granite/granite-3.0-2b-instruct,8.8,100,81.6
meta-llama/Llama-3.2-11B-Vision-Instruct-Turbo,8.9,100,73.1
google/gemini-1.5-pro-001,9.1,99.8,61.6
mistralai/Mistral-7B-Instruct-v0.3,9.5,100,98.4
anthropic/Claude-3-opus,10.093,95.5,92.1
google/gemma-2-9b-it,10.139,100,70.2
meta-llama/Llama-2-13b-chat-hf,10.469,99.8,82.1
allenai/OLMo-2-1124-13B-Instruct,10.8,100,82
allenai/OLMo-2-1124-7B-Instruct,11.1,100,112.6
mistralai/Mistral-Nemo-Instruct-2407,11.2,100,69.9
meta-llama/Llama-2-7b-chat-hf,11.312,99.6,119.9
microsoft/WizardLM-2-8x22B,11.741,99.9,140.8
cohere/c4ai-aya-expanse-8b,12.2,99.9,83.9
Qwen/QwQ-32B-Preview,12.9,100,140.2
qwen/qwen3-235b-a22b,13,99.2,86.6
amazon/Titan-Express,13.487,99.5,98.4
google/PaLM-2,14.079,99.8,86.6
deepseek/deepseek-r1,14.3,100,77.1
google/gemma-7b-it,14.811,100,113
ibm-granite/granite-3.1-2b-instruct,15.7,100,107.7
Qwen/Qwen2.5-1.5B-Instruct,15.8,100,70.7
anthropic/Claude-3-sonnet,16.302,100,108.5
ibm-granite/granite-3.2-2b-instruct,16.5,100,117.3
google/gemma-1.1-7b-it,16.998,100,64.3
anthropic/Claude-2,17.449,99.3,87.5
google/flan-t5-large,18.29,99.3,20.9
mistralai/Mixtral-8x7B-Instruct-v0.1,20.1,99.9,90.7
meta-llama/Llama-3.2-1B-Instruct,20.7,100,71.5
apple/OpenELM-3B-Instruct,24.776,99.3,47.2
Qwen/Qwen2.5-0.5B-Instruct,25.2,100,72.6
google/gemma-1.1-2b-it,27.833,100,66.8
tiiuae/falcon-7b-instruct,29.92,90,75.5